product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Donut Milka,Candy & Chocolate,18.0,6.0,28.0,,e
Véritable pâte à tartiner noisettes chocolat noir,Nuts & Seeds,32.0,8.0,48.0,,e
Cigarettes Fourrées Chocolat Noisettes,Candy & Chocolate,48.0,6.0,21.0,3.5,not-applicable
Born fruta fresca deshidratada,Fruit Snacks,56.5,5.0,10.3,9.5,unknown
8 mini beignets fourrés au chocolat noisette,Candy & Chocolate,19.0,6.8,24.0,,e
pumpkin seeds,Nuts & Seeds,1.7,35.0,45.8,6.4,a
Food Grade Corn,Candy & Chocolate,33.0,7.0,26.0,3.3,e
Pain au chocolat pur beurre x10,Candy & Chocolate,10.0,7.3,23.7,,e
Harvest whole wheat bread,Candy & Chocolate,4.6511627906977,11.627906976744,4.6511627906977,,c
Croissant pure beurre X2,Candy & Chocolate,6.5,9.7,23.9,3.244078265625,e
Croissant pur beurre,Candy & Chocolate,6.1,9.0,23.7,,e
"Pate d'arachide Seaux 4,5kg",Nuts & Seeds,6.3,25.0,48.0,7.8,a
Sablés Coco Lait,Candy & Chocolate,35.0,6.6,30.0,2.8,e
"Cocoa, powder",Candy & Chocolate,0.5,28.0,11.0,35.0,unknown
Pain au chocolat pur beurre,Candy & Chocolate,12.4,8.6,23.0,,e
Beignet chocolat,Candy & Chocolate,19.0,6.5,18.0,,d
Confiture extra de pêche blanche,Spreads & Dips,56.0,1.0,0.0,,d
Mini chaussons à la compote de pomme,Candy & Chocolate,18.2,3.69,15.78,1.97,d
Chaussons aux abricots,Candy & Chocolate,10.2,4.7,18.8,3.606775,e
Chausson au pomme,Candy & Chocolate,10.7,2.0,16.2,,e
Pruneau d'agen,Fruit Snacks,35.0,2.0,0.3,,c
Brins de framboise,Candy & Chocolate,45.0,4.6,2.3,1.4,e
Brins de ChocoCaramel,Candy & Chocolate,49.0,5.4,16.0,1.5,e
P'tits beignets parfum choco-noisette,Candy & Chocolate,19.0,1.3,5.4,,c
petit dej Chococroustill,Candy & Chocolate,7.0,2.2,5.9,1.1,c
4 Beignets parfum chocolat-noisette *4,Candy & Chocolate,19.0,6.7,19.0,,d
Knusper-Müsli Mango,Cereals & Granola,16.0,10.0,11.0,7.3,a
Isabar,Candy & Chocolate,25.0,28.0,9.0,5.0,d
4 beignets à la pomme,Candy & Chocolate,20.0,6.6,9.6,,d
"Pain perdu, compotée de rhubarbe et framboise",Candy & Chocolate,14.76,2.95,4.59,1.94,c
Beignets chocolats noisettes decongelé,Candy & Chocolate,19.0,6.7,19.0,,d
Beignets à la pomme,Candy & Chocolate,16.0,6.2,10.0,,d
Mandeln Naturbelassen,Nuts & Seeds,4.4,21.2,49.9,12.5,unknown
Beurre de Cacahuètes Bio,Nuts & Seeds,4.0,25.7,49.1,8.5,a
Beurre de Cacahuètes Bio,Nuts & Seeds,4.0,25.7,49.1,8.5,a
Beurre de Cacahuètes Croquantes Bio,Nuts & Seeds,4.0,25.7,49.1,8.5,a
Purée d'Amandes Blanches Crues Bio,Nuts & Seeds,3.8,21.7,55.8,7.0,a
Purée de Noix de Cajou grillées Bio,Nuts & Seeds,5.0,21.0,48.8,3.8,b
Purée de Sésame Tahini Bio,Spreads & Dips,0.0,25.9,54.8,8.5,c
Purée de Noisettes Sans Sel Bio,Nuts & Seeds,5.0,14.0,61.8,9.0,a
Purée de Pistaches Bio,Nuts & Seeds,1.9,22.3,54.7,8.9,a
Purée de Graines de tournesol Bio,Nuts & Seeds,2.6,20.7,51.4,9.0,a
Organic almond butter raw,Nuts & Seeds,3.8,21.7,55.8,,b
Purée d'Amandes Blanches Grillées Bio,Nuts & Seeds,3.8,21.7,55.8,7.0,a
Purée de Noix de Cajou Crues Bio,Nuts & Seeds,5.9,18.1,43.9,3.3,b
walkers,Chips & Savoury Snacks,1.0,6.3,30.0,6.2,c
Cheese and onion,Chips & Savoury Snacks,2.6,6.6,29.0,6.4,c
Vegan Grilled Cheese Toastie Crisps,Chips & Savoury Snacks,2.91666666666667,7.08333333333333,20.8333333333333,4.16666666666667,c
Wotsits Walkers,Chips & Savoury Snacks,2.1,7.1,21.0,4.4,c
Cheese Toastie with Heinz Beanz Flavour Potato Crisps,Chips & Savoury Snacks,3.9,6.4,29.0,6.3,d
BOLDER CRUNCH ICONIC TASTE Doritos TANGY CHEESE FL,Chips & Savoury Snacks,3.66666666666667,6.66666666666667,22.0,18.3333333333333,b
Seriously Salt & Vinegar,Chips & Savoury Snacks,0.9,5.9,29.0,4.5,c
Supreme Prawn Cocktail,Chips & Savoury Snacks,2.4,6.0,28.8,4.4,c
Hydro 90 BV 104 Whey Protein,Protein & Sport,1.0,88.0,2.4,1.5,not-applicable
Père Noël Lait,Candy & Chocolate,45.24,7.42,36.65,3.45,e
The simpsons donuts,Candy & Chocolate,18.2,5.0,28.9,,e
Bijou tradition pâtissiere,Candy & Chocolate,31.0,9.1,34.0,2.5,e
Madeleines Bijou,Candy & Chocolate,28.0,6.6,29.0,1.8,e
madeleines ecrin,Candy & Chocolate,32.3159,3.42653333333333,37.0124333333333,1.496,d
Croissants pur beurre,Candy & Chocolate,7.4,8.6,22.2,,e
Eclairs,Candy & Chocolate,21.7,4.6,9.5,,d
Croissant Proteico al cioccolato,Candy & Chocolate,1.0,25.0,20.0,14.0,d
Plumcake proteico,Candy & Chocolate,1.0,28.0,24.0,15.0,unknown
Beignets gourmands parfum choco-noisettes,Candy & Chocolate,5.4,0.0,20.0,,c
Leffe,Spreads & Dips,0.0,0.0,0.0,,not-applicable
Proteinbar with lemon flavour,Protein & Sport,30.0,28.0,12.0,0.0,not-applicable
Miel de fleurs,Spreads & Dips,79.0,0.5,0.0,,unknown
Tiramisu cappuccino,Candy & Chocolate,21.0,3.9,14.0,,e
Fruit & Fibre,Cereals & Granola,16.189,0.4783,0.13975,0.7365,c
Pâte a tartiner,Spreads & Dips,40.2,0.0,39.5,,e
Chocolat noir sésame complet,Candy & Chocolate,26.0,10.0,45.0,11.0,e
Luxury toasted muesli ancient grains & super fruits,Cereals & Granola,19.0,12.3000001907349,12.8000001907349,10.3000001907349,unknown
Bonbons de chocolat assortis,Candy & Chocolate,30.11,6.23,33.74,3.99,e
Muesli Fruits rouges,Cereals & Granola,17.0,10.0,15.0,9.5,c
Galette des rois Frangipane,Candy & Chocolate,16.0,6.7,29.0,2.0,e
Chokodomi Pâte à Tartiner Chocolat Noisettes Bio,Spreads & Dips,37.3,7.6,40.5,7.8,e
Chokodomi Pâte à Tartiner Chocolat Noisettes Bio,Nuts & Seeds,37.3,7.6,40.5,7.8,e
Turron de trufa,Candy & Chocolate,31.86,6.62,36.93,,e
Cocadas,Candy & Chocolate,10.0,10.0,10.0,,e
Magdalenas mini clasicas,Candy & Chocolate,24.0,5.5,17.0,,d
Pan de leche redondo,Candy & Chocolate,3.3,10.7,2.1,,a
Beignets fourres au chocolat,Candy & Chocolate,19.0,6.7,19.0,,d
Mini beignets assortis,Candy & Chocolate,22.0,7.9,25.0,,unknown
Früchtemischung Bonbon,Candy & Chocolate,74.2,0.0,0.0,,e
Flocon d'avoine - complète,Cereals & Granola,1.0,12.0,7.1,,b
CAP’N CRUNCH,Cereals & Granola,44.736842105263,5.2631578947368,3.9473684210526,2.6315789473684,e
Donuts,Candy & Chocolate,20.0,4.6,17.0,,e
Sweetened sunflower seeds,Nuts & Seeds,7.0,29.0,46.0,,e
Teigwaren,Candy & Chocolate,3.4,14.0,1.5,2.9,unknown
oeuf de goeland chocolat vrac,Candy & Chocolate,31.0,5.9,47.0,,e
